SRA_number,read_number,#_contigs(>=0bp),#_contigs(>=1000bp),#_contigs(>=5000bp),#_contigs(>=10000bp),#_contigs(>=25000bp),#_contigs(>=50000bp),Total_length(>=0bp),Total_length(>=1000bp),Total_length(>=5000bp),Total_length(>=10000bp),Total_length(>=25000bp),Total_length(>=50000bp),#_contigs,Largest_contig,Total_length,GC(%),N50,N75,L50,L75,Total_kmers_11,Total_kmers_22,Total_kmers_33,Total_kmers_44,Total_kmers_55,Total_kmers_66,CDS_number,CDS_total_length,CDS_average_length,Genome_length_min,Genome_length_max,Genome_repeat_length_min,Genome_repeat_length_max,Read_error_rate_min,Read_error_rate_max
SRR3989712,3250000,1069,167,88,72,52,32,5428825,5186128,5012108,4891851,4553519,3815871,269,292007,5256004,50.39,107139,46069,16,35,2103,879,733,584,579,453,4996,4552423,911,5415716,5417834,540393,540604,0.213182,0.213182
SRR3989713,3250000,423,207,148,118,65,27,4892356,4849244,4711457,4491270,3628513,2208417,233,134302,4866652,51.01,47548,24912,32,66,2929,2009,1544,1370,1075,591,4616,4236971,917,5321480,5323188,781987,782237,0.175263,0.175263
SRR3989714,3250000,277,131,86,70,50,29,5322371,5280162,5174133,5059087,4754768,4055585,160,364918,5300033,50.55,127767,54612,13,28,2241,1396,1156,1043,798,457,4956,4639816,936,5245662,5248624,412561,412794,0.213755,0.213755
SRR3989715,3250000,288,136,86,68,49,27,5321042,5279923,5159885,5030909,4734067,3953307,161,321712,5296519,50.55,135403,45797,12,28,2097,1170,1037,858,584,321,4943,4634996,937,5149831,5153026,334235,334443,0.200999,0.200999
SRR3989716,3250000,475,148,91,72,56,33,4875395,4803812,4679394,4542398,4295404,3453730,181,219229,4828129,50.51,82859,43164,18,37,2318,1291,1172,1066,1020,919,4553,4203104,923,5189550,5191450,625915,626145,0.171261,0.171261
SRR3989717,3250000,204,92,67,63,50,32,5046387,5012325,4966733,4937848,4723687,4102009,110,326423,5025587,50.69,126345,66086,13,27,1882,751,653,524,371,236,4760,4407529,925,4829338,4835024,215064,215317,0.185274,0.185274
SRR3989718,3250000,218,94,69,63,51,32,4940043,4907344,4851407,4808827,4573007,3910611,111,401092,4919885,50.73,109115,63336,15,29,1953,852,728,630,454,261,4589,4324587,942,4815471,4819985,243652,243880,0.170167,0.170167
SRR3989719,3250000,482,127,71,58,46,31,4845098,4774473,4653345,4562264,4321188,3810481,153,322789,4793063,50.31,119841,70054,15,28,2647,1629,1478,1274,1045,545,4463,4191097,939,5067303,5069129,534264,534457,0.164692,0.164692
SRR3989720,3250000,230,97,63,58,46,28,4895917,4863479,4783411,4741301,4537758,3855865,114,417554,4875789,50.69,130327,61291,11,25,1911,543,443,397,308,180,4581,4281237,934,4751477,4755622,197959,198131,0.178059,0.178059
SRR3989721,3250000,516,136,81,68,48,30,4951769,4871459,4738048,4642403,4308602,3673521,174,200529,4898318,50.29,111935,48815,16,31,1848,647,496,388,274,178,4608,4275989,927,5056676,5060143,521964,522322,0.155045,0.155045
SRR3989722,3250000,232,96,66,62,49,34,4900587,4863629,4809787,4777510,4558092,4026983,113,375527,4876045,50.64,109963,72853,15,28,1914,1173,939,728,509,292,4548,4272558,939,4877062,4882379,390405,390831,0.168983,0.168983
SRR3989723,3250000,348,122,84,69,50,31,4750498,4709722,4619019,4516595,4165080,3510289,138,320670,4719878,50.3,109202,45977,15,32,1902,638,528,409,291,172,4363,4125486,945,4764647,4767659,347616,347836,0.178069,0.178069
SRR3989724,3250000,406,91,65,58,48,31,4724194,4683324,4620434,4575282,4369200,3797538,99,324174,4689501,50.38,119063,64310,14,27,1880,676,517,385,275,163,4343,4114145,947,4762563,4765751,298997,299197,0.182084,0.182084
SRR3989725,3250000,193,71,51,46,41,25,5028889,5002053,4959136,4924470,4844333,4252223,81,382792,5008879,50.74,183555,105069,10,19,1868,578,470,363,283,165,4701,4400599,936,4995719,4998841,217770,217906,0.185205,0.185205
SRR3989726,3250000,205,86,61,56,49,33,4938344,4906170,4853476,4818950,4668899,4103330,103,356759,4918557,50.73,116440,73689,14,27,1961,827,723,623,431,254,4590,4329825,943,4780435,4784325,209308,209479,0.185957,0.185957
SRR3989727,3250000,500,128,76,64,46,30,4889543,4823080,4701067,4619631,4281473,3765287,153,428383,4839609,50.29,98657,65162,14,28,3615,2667,2400,2102,1626,698,4542,4227763,930,5331977,5333570,805172,805413,0.210337,0.210337
SRR3989728,3250000,297,117,76,65,52,30,4994739,4939018,4864355,4782129,4542547,3805798,150,341401,4963895,50.58,103691,61166,14,29,1892,786,656,556,390,234,4731,4346295,918,5014070,5016321,328107,328255,0.207941,0.207941
SRR3989729,3250000,271,109,69,60,51,33,4993683,4944912,4871661,4804667,4635364,4046769,135,254537,4964672,50.58,107886,73791,15,28,1889,809,680,551,395,224,4730,4348063,919,4968313,4970819,317158,317318,0.202448,0.202448
SRR3989730,3250000,447,113,82,70,52,33,4724156,4679318,4603462,4522351,4194052,3584060,126,203640,4689106,50.39,103746,55287,17,32,1896,710,523,373,275,167,4342,4107792,946,4688465,4690995,264660,264803,0.216888,0.216888
SRR3989731,3250000,544,161,97,77,55,37,4951748,4867092,4737885,4601489,4194234,3554290,193,178330,4890191,50.35,92779,42375,21,40,2511,1600,1407,1188,883,472,4592,4260355,927,5111090,5112768,552836,553017,0.216015,0.216015
SRR3989732,3250000,266,117,91,80,60,32,5111245,5076109,5027597,4951636,4631756,3619587,136,363423,5089080,50.55,83211,43592,17,37,1881,469,376,341,258,172,4721,4460024,944,4969826,4971992,180824,180902,0.208517,0.208517
SRR3989733,3250000,209,92,71,65,47,32,4836099,4814865,4767308,4722269,4389333,3870967,99,309620,4819502,50.59,109004,62257,13,28,1895,714,616,488,352,220,4449,4251626,955,4816507,4819511,268919,269086,0.258002,0.258002
SRR3989734,3250000,242,81,48,45,38,26,4830590,4785696,4720103,4695420,4584608,4151693,104,355698,4803084,50.7,188215,89924,10,19,1876,651,540,443,308,193,4496,4236721,942,4869146,4872277,303182,303377,0.253333,0.253333
SRR3989735,3250000,229,86,64,57,47,25,4847097,4809339,4760391,4702669,4533229,3702351,108,422991,4824525,50.78,151985,52444,11,24,1921,952,834,667,477,291,4523,4246511,938,4944407,4949091,399734,400112,0.259304,0.259304
SRR3989736,3250000,273,116,81,69,56,34,4828964,4786681,4708256,4624941,4394065,3618817,137,299323,4802319,50.5,91876,50541,18,34,1973,1094,856,738,537,311,4506,4189496,929,4849449,4852629,395817,396076,0.246508,0.246508
SRR3989737,3250000,479,187,119,94,59,36,5118485,5031882,4864284,4688905,4104742,3245810,237,184559,5066585,50.63,73809,36217,25,49,2860,1855,1712,1442,1008,519,4883,4399393,900,5308156,5310215,555816,556032,0.248917,0.248917
SRR3989738,3250000,139,71,51,48,43,28,4731413,4716015,4677774,4656989,4576055,4031996,78,377223,4721924,50.52,170608,72793,10,21,1877,670,510,463,379,241,4396,4139027,941,4750387,4754446,270093,270324,0.252844,0.252844
SRR3989739,3250000,286,150,98,88,61,30,4786120,4750893,4631919,4556144,4115753,2978600,172,240323,4767455,50.73,69203,35711,20,45,2052,1085,924,746,601,424,4549,4181931,919,2457209,2460170,97751,97869,0.258436,0.258436
SRR3989740,3250000,378,203,145,125,67,29,4971766,4919485,4774768,4634803,3710284,2438564,238,169762,4944167,50.43,45898,26009,30,67,2316,1226,1075,979,874,670,4726,4317918,913,5059972,5061764,425194,425344,0.233641,0.233641
