SRA_number,read_number,#_contigs(>=0bp),#_contigs(>=1000bp),#_contigs(>=5000bp),#_contigs(>=10000bp),#_contigs(>=25000bp),#_contigs(>=50000bp),Total_length(>=0bp),Total_length(>=1000bp),Total_length(>=5000bp),Total_length(>=10000bp),Total_length(>=25000bp),Total_length(>=50000bp),#_contigs,Largestcontig,Totallength,GC(%),N50,N75,L50,L75
SRR3989774,250000,2673,1414,190,16,0,0,4758434,4133923,1340960,192046,0,0,1944,18217,4523424,51.44,3247,1851,424,880
SRR3989774,500000,617,445,274,167,52,7,5041046,4957905,4543485,3783256,1983760,459823,518,100343,5009175,50.89,20175,10268,77,165
SRR3989774,750000,592,273,180,136,65,27,5117447,5023465,4808976,4491365,3366756,2041063,332,135032,5067350,50.73,37451,17541,39,86
SRR3989774,1000000,594,215,139,112,69,34,5138256,5048253,4868577,4674729,4014511,2793498,263,159802,5083285,50.68,55712,29902,30,62
SRR3989774,1250000,496,184,120,98,60,34,5142413,5067451,4919253,4757456,4140097,3216725,224,287078,5096044,50.64,66141,32786,23,50
SRR3989774,1500000,478,160,105,86,55,37,5148372,5076138,4946236,4804231,4311425,3661495,195,324655,5100874,50.63,75283,46208,20,41
SRR3989774,1750000,455,140,90,72,45,33,5150760,5081364,4967781,4833732,4379844,3948971,172,391925,5103381,50.63,100980,56270,14,31
SRR3989774,2000000,452,135,86,69,45,34,5150957,5079592,4965075,4839295,4426695,4058514,169,391925,5103611,50.62,104507,56866,14,30
SRR3989774,2250000,455,127,81,64,45,31,5153634,5080623,4973180,4847108,4514087,4041533,162,391925,5104791,50.61,128089,60007,13,28
SRR3989774,2500000,428,121,76,61,42,32,5153847,5084937,4984079,4874266,4574105,4235755,154,416850,5107783,50.61,148722,65038,11,26
SRR3989774,2750000,426,120,74,59,42,32,5154282,5087343,4987187,4874681,4595022,4257920,150,416850,5108045,50.61,152242,66424,11,25
SRR3989774,3000000,421,115,70,56,42,31,5156007,5091311,4990917,4885557,4646693,4281521,144,433052,5111316,50.61,152242,66441,11,24
